protocol,scenario,server_host,server_port,session_id,message_count,payload_size,window_size,attack_type,repeat_id,server_reachable,sent_count,accepted_count,rejected_count,timeout_count,recovery_success,attack_detected,detection_result,detection_reason,avg_rtt_ms,min_rtt_ms,max_rtt_ms,p50_rtt_ms,p95_rtt_ms,elapsed_ms,throughput_msg_per_s,final_client_mem,final_server_mem,final_client_mem_short,final_server_mem_short,memory_match,memory_verified,server_last_seq,seq_consistent
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-none-m500-p512-w5-r1-1781487363578437,500,512,5,none,1,True,500,500,0,0,True,False,normal,normal,0.1453,0.061,0.308,0.1348,0.2108,16.1331,30992.24,5da0af3f8940cc402285ed71ef59a27d1ab69f331bd88e67559e54ac6570d243,5da0af3f8940cc402285ed71ef59a27d1ab69f331bd88e67559e54ac6570d243,5da0af3f8940cc40,5da0af3f8940cc40,True,True,500,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-none-m500-p512-w10-r1-1781487363595119,500,512,10,none,1,True,500,500,0,0,True,False,normal,normal,0.2581,0.1173,0.349,0.2482,0.3262,13.8111,36202.73,5022ce4c9da7be52a9f8ef2d5dd0373378af3541d2f7435b1842821e7e905eda,5022ce4c9da7be52a9f8ef2d5dd0373378af3541d2f7435b1842821e7e905eda,5022ce4c9da7be52,5022ce4c9da7be52,True,True,500,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-none-m1000-p128-w1-r1-1781487363609478,1000,128,1,none,1,True,1000,1000,0,0,True,False,normal,normal,0.0755,0.042,1.708,0.0629,0.1249,90.205,11085.87,76d27a921a11eabb52733f506b2cc99b144a95d7e18820d29b772111176f2091,76d27a921a11eabb52733f506b2cc99b144a95d7e18820d29b772111176f2091,76d27a921a11eabb,76d27a921a11eabb,True,True,1000,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-none-m1000-p128-w5-r1-1781487363700240,1000,128,5,none,1,True,1000,1000,0,0,True,False,normal,normal,0.129,0.0799,0.298,0.118,0.1903,28.1777,35489.01,cb0e9baf02458d764fb3feba0643a6065576d492a270a20edb63a29941e0d36f,cb0e9baf02458d764fb3feba0643a6065576d492a270a20edb63a29941e0d36f,cb0e9baf02458d76,cb0e9baf02458d76,True,True,1000,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-none-m1000-p128-w10-r1-1781487363729030,1000,128,10,none,1,True,1000,1000,0,0,True,False,normal,normal,0.2243,0.1171,0.3579,0.2151,0.3029,23.7129,42171.19,1b9c845d614227655fb02ef391768b276b889e7b82dbf4a837eb5838178061c4,1b9c845d614227655fb02ef391768b276b889e7b82dbf4a837eb5838178061c4,1b9c845d61422765,1b9c845d61422765,True,True,1000,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-none-m1000-p512-w1-r1-1781487363753414,1000,512,1,none,1,True,1000,1000,0,0,True,False,normal,normal,0.0684,0.0429,0.2329,0.061,0.1059,83.5021,11975.75,c6c5a59c7de0e0010e1e86355388250d79ea8985293d4a81bd966135dba58df9,c6c5a59c7de0e0010e1e86355388250d79ea8985293d4a81bd966135dba58df9,c6c5a59c7de0e001,c6c5a59c7de0e001,True,True,1000,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-none-m1000-p512-w5-r1-1781487363837580,1000,512,5,none,1,True,1000,1000,0,0,True,False,normal,normal,0.1448,0.0629,0.5779,0.1318,0.2131,31.8501,31397.08,fdbcb2ff24993ea7015441cc3c1d6e95a6df96d532f328d57e1e78ed585798b2,fdbcb2ff24993ea7015441cc3c1d6e95a6df96d532f328d57e1e78ed585798b2,fdbcb2ff24993ea7,fdbcb2ff24993ea7,True,True,1000,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-none-m1000-p512-w10-r1-1781487363870112,1000,512,10,none,1,True,1000,1000,0,0,True,False,normal,normal,0.2905,0.1118,1.4102,0.2539,0.4652,30.6981,32575.35,a09eec6ccc0f3be3a3842f020dfe1a6731954c29fc66586c0f906df2b6081eec,a09eec6ccc0f3be3a3842f020dfe1a6731954c29fc66586c0f906df2b6081eec,a09eec6ccc0f3be3,a09eec6ccc0f3be3,True,True,1000,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m100-p128-w1-r1-1781487363901553,100,128,1,drop,1,True,50,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.0651,0.0494,0.1531,0.0581,0.0998,4.02,12189.13,6cfdd3dec52be528425369e100d4dbca7923af65bb7df7216630e6a89a819e5f,6cfdd3dec52be528425369e100d4dbca7923af65bb7df7216630e6a89a819e5f,6cfdd3dec52be528,6cfdd3dec52be528,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m100-p128-w5-r1-1781487363905938,100,128,5,drop,1,True,54,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.1617,0.1068,0.247,0.147,0.2402,1.9701,24872.43,7c9ff243e658d187fad6862e53f643abe2d4b912425548fbc83ccd206a5cf5f6,7c9ff243e658d187fad6862e53f643abe2d4b912425548fbc83ccd206a5cf5f6,7c9ff243e658d187,7c9ff243e658d187,True,False,49,True
