attack_type,avg_rtt_ms_mean,avg_rtt_ms_std,avg_rtt_ms_min,avg_rtt_ms_max,p50_rtt_ms_mean,p95_rtt_ms_mean,throughput_msg_per_s_mean,throughput_msg_per_s_std,throughput_msg_per_s_min,throughput_msg_per_s_max,accepted_count_mean,rejected_count_mean,timeout_count_mean,detection_rate
drop,196.00369259259259,49.98403764005273,155.2612,411.0076,161.05765370370372,365.8904444444444,25.792777777777776,17.61815984401629,4.08,56.34,49.0,1.0,0.0,1.0
modify,194.78740185185185,24.750207149264536,155.961,275.6829,166.2307425925926,325.7703925925926,25.57740740740741,17.634341194897456,4.2,56.28,49.0,1.0,0.0,1.0
none,183.10578703703703,14.272312308895819,154.723,215.7315,163.24588888888889,293.37735925925926,28.419814814814817,19.40628389677015,4.96,60.52,533.3333333333334,0.0,0.0,0.0
prev_mem,207.9266925925926,63.66692197688894,160.9272,584.3714,172.47212592592592,381.9887351851852,23.87425925925926,16.043622326815058,4.72,56.37,49.0,1.0,0.0,1.0
replay,193.47947777777776,24.000290619314843,154.6202,261.9551,170.75155925925924,331.8878037037037,25.46481481481481,17.11959858248542,4.29,55.5,49.0,1.0,0.0,1.0
