protocol,delivery_success_rate_mean,recovery_success_rate_mean,recovery_success_rate_std,memory_match_rate_mean,attack_detection_rate_mean,avg_recovery_latency_ms_mean,avg_recovery_latency_ms_std,extra_messages_mean,extra_bytes_mean,throughput_score_mean
gmcp_r,0.9553333333333334,0.94545,0.02573287061742562,0.99696,0.9893333333333334,91.63893333333333,73.98543904786837,24.155555555555555,2734.9333333333334,0.8554499999999999
hash_chain,0.9553333333333334,0.8671,0.04210833373760502,0.9886000000000001,0.9773333333333333,97.876,74.08273238825193,153.6,49152.0,0.7471000000000001
seq_mac,0.9553333333333334,0.7856,0.11228888996694786,0.0,0.9053333333333333,90.04755555555556,73.98782822489879,28.377777777777776,2756.266666666667,0.8785
ticket_only,0.9553333333333334,0.8142,0.08421666747521081,0.0,0.8028,90.649,73.98553637375072,10.933333333333334,1209.6,0.8528
