scenario,protocol,loss_rate,reorder_rate,delay_ms,message_count,payload_size,repeat_id,delivery_success_rate,recovery_success_rate,memory_match_rate,attack_detection_rate,avg_recovery_latency_ms,extra_messages,extra_bytes,throughput_score,recovery_mode
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,100,128,1,0.9965,0.9176,0.0,0.904,52.02,2,224,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,100,128,2,0.9945,0.9176,0.0,0.904,52.02,2,224,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,100,128,3,0.9925,0.9176,0.0,0.904,52.02,2,224,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,100,512,1,0.9965,0.9176,0.0,0.904,52.02,2,224,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,100,512,2,0.9945,0.9176,0.0,0.904,52.02,2,224,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,100,512,3,0.9925,0.9176,0.0,0.904,52.02,2,224,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,500,128,1,0.9965,0.9176,0.0,0.904,52.1,6,608,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,500,128,2,0.9945,0.9176,0.0,0.904,52.1,6,608,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,500,128,3,0.9925,0.9176,0.0,0.904,52.1,6,608,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,500,512,1,0.9965,0.9176,0.0,0.904,52.1,6,608,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,500,512,2,0.9945,0.9176,0.0,0.904,52.1,6,608,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,500,512,3,0.9925,0.9176,0.0,0.904,52.1,6,608,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,1000,128,1,0.9965,0.9176,0.0,0.904,52.2,11,1088,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,1000,128,2,0.9945,0.9176,0.0,0.904,52.2,11,1088,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,1000,128,3,0.9925,0.9176,0.0,0.904,52.2,11,1088,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,1000,512,1,0.9965,0.9176,0.0,0.904,52.2,11,1088,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,1000,512,2,0.9945,0.9176,0.0,0.904,52.2,11,1088,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,50,1000,512,3,0.9925,0.9176,0.0,0.904,52.2,11,1088,0.961,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,100,128,1,0.9965,0.8696,0.0,0.904,102.02,2,224,0.931,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,100,128,2,0.9945,0.8696,0.0,0.904,102.02,2,224,0.931,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,100,128,3,0.9925,0.8696,0.0,0.904,102.02,2,224,0.931,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,100,512,1,0.9965,0.8696,0.0,0.904,102.02,2,224,0.931,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,100,512,2,0.9945,0.8696,0.0,0.904,102.02,2,224,0.931,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,100,512,3,0.9925,0.8696,0.0,0.904,102.02,2,224,0.931,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,500,128,1,0.9965,0.8696,0.0,0.904,102.1,6,608,0.931,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,500,128,2,0.9945,0.8696,0.0,0.904,102.1,6,608,0.931,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,500,128,3,0.9925,0.8696,0.0,0.904,102.1,6,608,0.931,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,500,512,1,0.9965,0.8696,0.0,0.904,102.1,6,608,0.931,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,500,512,2,0.9945,0.8696,0.0,0.904,102.1,6,608,0.931,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,500,512,3,0.9925,0.8696,0.0,0.904,102.1,6,608,0.931,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,1000,128,1,0.9965,0.8696,0.0,0.904,102.2,11,1088,0.931,seq_resync
