concurrency,repeat_id,message_count_per_client,payload_size,total_sent,total_accepted,total_rejected,total_timeout,total_error,successful_clients,success_rate_pct,overall_throughput_msg_per_sec,test_elapsed_sec,rtt_mean_ms,rtt_std_ms,rtt_ci95_ms,rtt_min_ms,rtt_max_ms,rtt_median_ms,rtt_n,per_client_rtt_mean_ms,per_client_rtt_std_ms,per_client_rtt_ci95_ms,per_client_tp_mean_msg_per_sec,per_client_tp_std_msg_per_sec,per_client_tp_ci95_msg_per_sec,experiment_id,run_id,git_commit,python_version,os_info,random_seed,command_line,experiment_type
1,17,200,128,200,200,0,0,0,1,100.0,6875.01,0.03,0.131,0.086,0.012,0.054,1.101,0.113,200,0.131,0.0,0.0,6996.4,0.0,0.0,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
1,18,200,128,200,200,0,0,0,1,100.0,6752.21,0.03,0.133,0.055,0.008,0.05,0.479,0.133,200,0.133,0.0,0.0,6881.38,0.0,0.0,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
1,19,200,128,200,200,0,0,0,1,100.0,6450.2,0.03,0.141,0.113,0.016,0.05,1.35,0.129,200,0.141,0.0,0.0,6547.05,0.0,0.0,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
1,20,200,128,200,200,0,0,0,1,100.0,6959.42,0.03,0.129,0.055,0.008,0.082,0.512,0.114,200,0.129,0.0,0.0,7091.44,0.0,0.0,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
1,21,200,128,200,200,0,0,0,1,100.0,6607.6,0.03,0.137,0.053,0.007,0.067,0.469,0.128,200,0.137,0.0,0.0,6726.98,0.0,0.0,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
1,22,200,128,200,200,0,0,0,1,100.0,6859.21,0.03,0.132,0.068,0.009,0.053,0.598,0.116,200,0.132,0.0,0.0,7003.0,0.0,0.0,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
1,23,200,128,200,200,0,0,0,1,100.0,6742.39,0.03,0.133,0.051,0.007,0.055,0.452,0.127,200,0.133,0.0,0.0,6932.62,0.0,0.0,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
1,24,200,128,200,200,0,0,0,1,100.0,6878.22,0.03,0.132,0.097,0.013,0.061,1.242,0.106,200,0.132,0.0,0.0,6997.39,0.0,0.0,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
1,25,200,128,200,200,0,0,0,1,100.0,7583.54,0.03,0.118,0.057,0.008,0.041,0.488,0.107,200,0.118,0.0,0.0,7753.73,0.0,0.0,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
1,26,200,128,200,200,0,0,0,1,100.0,6718.9,0.03,0.133,0.063,0.009,0.052,0.565,0.13,200,0.133,0.0,0.0,6871.01,0.0,0.0,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
1,27,200,128,200,200,0,0,0,1,100.0,6265.44,0.03,0.145,0.109,0.015,0.081,1.081,0.128,200,0.145,0.0,0.0,6389.18,0.0,0.0,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
1,28,200,128,200,200,0,0,0,1,100.0,6657.57,0.03,0.134,0.056,0.008,0.051,0.486,0.121,200,0.134,0.0,0.0,6859.88,0.0,0.0,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
1,29,200,128,200,200,0,0,0,1,100.0,6910.35,0.03,0.131,0.058,0.008,0.062,0.523,0.114,200,0.131,0.0,0.0,7035.3,0.0,0.0,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
1,30,200,128,200,200,0,0,0,1,100.0,7253.19,0.03,0.124,0.054,0.007,0.051,0.533,0.115,200,0.124,0.0,0.0,7384.14,0.0,0.0,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,1,200,128,400,400,0,0,0,2,100.0,14218.1,0.03,0.126,0.072,0.007,0.069,0.86,0.112,400,0.126,0.001,0.006,7316.43,68.9,619.03,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,2,200,128,400,400,0,0,0,2,100.0,14251.8,0.03,0.126,0.068,0.007,0.053,0.822,0.112,400,0.126,0.002,0.018,7348.85,86.26,775.02,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,3,200,128,400,400,0,0,0,2,100.0,14363.19,0.03,0.124,0.068,0.007,0.074,0.903,0.112,400,0.124,0.001,0.007,7419.12,70.2,630.7,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,4,200,128,400,400,0,0,0,2,100.0,13908.69,0.03,0.129,0.056,0.006,0.072,0.642,0.121,400,0.129,0.001,0.009,7157.86,48.54,436.13,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,5,200,128,400,400,0,0,0,2,100.0,13226.13,0.03,0.136,0.065,0.006,0.078,0.768,0.125,400,0.136,0.001,0.006,6798.3,30.85,277.22,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,6,200,128,400,400,0,0,0,2,100.0,14146.89,0.03,0.127,0.063,0.006,0.056,0.692,0.112,400,0.127,0.001,0.008,7276.04,43.82,393.72,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,7,200,128,400,400,0,0,0,2,100.0,13384.3,0.03,0.133,0.071,0.007,0.054,0.836,0.118,400,0.133,0.001,0.013,6923.41,60.48,543.43,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,8,200,128,400,400,0,0,0,2,100.0,13839.96,0.03,0.13,0.06,0.006,0.076,0.624,0.119,400,0.13,0.0,0.004,7116.86,20.58,184.89,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,9,200,128,400,400,0,0,0,2,100.0,14340.6,0.03,0.124,0.059,0.006,0.052,0.684,0.112,400,0.124,0.001,0.01,7433.63,81.09,728.57,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,10,200,128,400,400,0,0,0,2,100.0,13510.29,0.03,0.131,0.063,0.006,0.079,0.74,0.118,400,0.131,0.001,0.007,7041.79,67.33,604.98,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,11,200,128,400,400,0,0,0,2,100.0,13349.79,0.03,0.135,0.082,0.008,0.072,0.898,0.118,400,0.135,0.001,0.007,6870.45,27.85,250.24,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,12,200,128,400,400,0,0,0,2,100.0,15012.23,0.03,0.119,0.075,0.007,0.045,0.751,0.111,400,0.119,0.001,0.006,7716.94,54.06,485.73,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,13,200,128,400,400,0,0,0,2,100.0,7308.07,0.05,0.255,0.568,0.056,0.082,5.168,0.138,400,0.255,0.004,0.033,3719.9,33.09,297.3,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,14,200,128,400,400,0,0,0,2,100.0,13719.77,0.03,0.131,0.064,0.006,0.057,0.773,0.121,400,0.131,0.0,0.003,7053.36,25.12,225.69,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,15,200,128,400,400,0,0,0,2,100.0,14966.03,0.03,0.119,0.058,0.006,0.055,0.698,0.108,400,0.119,0.0,0.004,7696.34,54.87,493.01,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
