mode,protocol,msg_count,payload_size,wall_time_sec,throughput_msg_per_sec,build_mean_us,build_std_us,build_p50_us,build_p95_us,build_p99_us,verify_mean_us,verify_std_us,verify_p50_us,verify_p95_us,verify_p99_us,e2e_mean_us,e2e_std_us,e2e_p50_us,e2e_p95_us,e2e_p99_us,repeat_id
local,ticket_only,500,256,0.0013,382214.49,0.27,0.03,0.25,0.292,0.3344,1.95,0.22,1.917,2.0,3.6254,2.22,0.22,2.167,2.291,3.917,5
local,ticket_only,500,256,0.0013,384948.51,0.27,0.03,0.291,0.292,0.3344,1.93,0.04,1.917,2.0,2.042,2.21,0.05,2.208,2.292,2.333,6
local,ticket_only,500,256,0.0013,388462.66,0.27,0.02,0.25,0.292,0.333,1.92,0.04,1.917,1.9611,2.042,2.19,0.04,2.208,2.25,2.292,7
local,ticket_only,500,256,0.0013,384172.11,0.27,0.03,0.25,0.292,0.375,1.94,0.04,1.917,2.041,2.0424,2.21,0.05,2.208,2.292,2.375,8
local,ticket_only,500,256,0.0013,383398.83,0.27,0.03,0.25,0.292,0.375,1.95,0.07,1.917,2.042,2.3344,2.22,0.09,2.208,2.333,2.6674,9
local,ticket_only,500,256,0.0013,383644.17,0.27,0.03,0.25,0.292,0.375,1.94,0.05,1.917,2.041,2.083,2.21,0.05,2.208,2.292,2.375,10
local,ticket_only,500,256,0.0013,388261.46,0.27,0.03,0.25,0.292,0.334,1.92,0.04,1.917,2.0,2.042,2.19,0.05,2.167,2.291,2.333,11
local,ticket_only,500,256,0.0013,380613.96,0.27,0.02,0.291,0.292,0.334,1.95,0.04,1.958,2.042,2.083,2.23,0.05,2.209,2.333,2.375,12
local,ticket_only,500,256,0.0013,382592.06,0.27,0.03,0.25,0.292,0.375,1.95,0.05,1.958,2.042,2.1254,2.22,0.06,2.208,2.333,2.458,13
local,ticket_only,500,256,0.0015,326317.5,0.33,1.07,0.291,0.333,0.5008,2.09,1.56,1.917,2.167,3.6882,2.42,2.42,2.208,2.5,3.9897,14
local,ticket_only,500,256,0.0013,378369.95,0.27,0.03,0.291,0.292,0.3344,1.95,0.22,1.917,2.042,2.2642,2.22,0.23,2.208,2.333,2.5558,15
local,ticket_only,500,256,0.0013,376222.73,0.27,0.03,0.25,0.292,0.334,1.99,0.32,1.9375,2.042,3.8361,2.25,0.32,2.208,2.333,4.1267,16
local,ticket_only,500,256,0.0013,376931.77,0.27,0.03,0.25,0.333,0.375,1.98,0.07,1.959,2.125,2.167,2.26,0.08,2.25,2.416,2.458,17
local,ticket_only,500,256,0.0013,382104.66,0.27,0.03,0.25,0.2941,0.375,1.96,0.06,1.958,2.042,2.125,2.23,0.06,2.208,2.3331,2.417,18
local,ticket_only,500,256,0.0014,345552.53,0.27,0.07,0.25,0.292,0.3344,2.0,1.48,1.875,2.042,3.7558,2.27,1.51,2.125,2.292,4.0058,19
local,ticket_only,500,256,0.0014,370187.74,0.29,0.12,0.291,0.3331,0.375,1.98,0.3,1.917,2.416,2.5424,2.27,0.33,2.208,2.75,2.917,20
local,ticket_only,500,256,0.0014,356167.72,0.29,0.08,0.291,0.375,0.458,2.08,1.11,1.917,2.3331,5.7663,2.37,1.14,2.208,2.6691,6.1109,21
local,ticket_only,500,256,0.0013,377821.86,0.28,0.03,0.291,0.333,0.417,1.97,0.58,1.917,2.042,2.125,2.25,0.58,2.208,2.333,2.417,22
local,ticket_only,500,256,0.0013,385344.28,0.27,0.02,0.25,0.292,0.333,1.94,0.04,1.917,2.0,2.042,2.21,0.04,2.208,2.292,2.333,23
local,ticket_only,500,256,0.0015,333518.77,0.28,0.07,0.291,0.333,0.4174,2.05,1.8,1.917,2.1271,4.4615,2.33,1.81,2.208,2.5,4.7115,24
local,ticket_only,500,256,0.0014,365252.24,0.27,0.06,0.25,0.292,0.375,2.02,1.39,1.917,2.042,3.5838,2.3,1.4,2.208,2.334,3.8342,25
local,ticket_only,500,256,0.0013,382518.89,0.28,0.02,0.291,0.292,0.333,1.94,0.11,1.917,2.0,2.083,2.22,0.11,2.208,2.292,2.333,26
local,ticket_only,500,256,0.0013,385703.36,0.27,0.03,0.25,0.292,0.375,1.94,0.09,1.917,2.041,2.083,2.21,0.09,2.208,2.292,2.375,27
local,ticket_only,500,256,0.0013,385926.65,0.27,0.02,0.25,0.292,0.334,1.94,0.04,1.917,2.0,2.083,2.21,0.05,2.208,2.292,2.334,28
local,ticket_only,500,256,0.0015,336483.04,0.28,0.08,0.291,0.3331,0.416,2.05,1.43,1.917,2.125,3.9611,2.34,1.47,2.167,2.417,4.2111,29
local,ticket_only,500,256,0.0013,370839.83,0.28,0.03,0.291,0.334,0.375,2.01,0.07,2.0,2.125,2.208,2.29,0.08,2.292,2.417,2.5,30
local,ticket_only,1000,256,0.0026,382744.5,0.27,0.02,0.25,0.292,0.334,1.94,0.04,1.917,2.0021,2.084,2.21,0.05,2.208,2.292,2.375,1
local,ticket_only,1000,256,0.0026,384788.1,0.27,0.03,0.25,0.292,0.375,1.94,0.05,1.917,2.042,2.083,2.21,0.05,2.208,2.292,2.375,2
local,ticket_only,1000,256,0.0026,383062.22,0.27,0.02,0.25,0.292,0.334,1.96,0.49,1.917,2.0,2.083,2.22,0.49,2.208,2.292,2.333,3
local,ticket_only,1000,256,0.0026,379837.04,0.29,0.67,0.25,0.292,0.375,1.95,0.76,1.917,2.0,2.083,2.25,1.02,2.208,2.292,2.375,4
local,ticket_only,1000,256,0.0026,384899.03,0.27,0.03,0.25,0.292,0.375,1.95,0.38,1.917,2.042,2.125,2.21,0.38,2.1875,2.333,2.458,5
local,ticket_only,1000,256,0.0026,388985.33,0.27,0.05,0.25,0.292,0.333,1.89,0.42,1.834,1.9581,3.625,2.16,0.42,2.125,2.25,3.916,6
local,ticket_only,1000,256,0.0028,357659.16,0.29,0.2,0.291,0.334,0.542,2.05,0.85,1.958,2.208,4.0838,2.34,0.93,2.209,2.5021,4.6682,7
local,ticket_only,1000,256,0.0026,381661.18,0.27,0.03,0.25,0.292,0.375,1.96,0.62,1.917,2.0,2.083,2.23,0.62,2.208,2.292,2.417,8
local,ticket_only,1000,256,0.0025,397252.44,0.27,0.02,0.25,0.292,0.333,1.83,0.66,1.792,1.875,3.5,2.1,0.66,2.042,2.167,3.792,9
local,ticket_only,1000,256,0.0026,383202.84,0.27,0.02,0.25,0.292,0.334,1.95,0.74,1.917,2.0,2.084,2.22,0.74,2.167,2.292,2.3754,10
local,ticket_only,1000,256,0.0026,378495.12,0.27,0.15,0.25,0.292,0.333,1.96,1.1,1.917,2.0,2.083,2.24,1.12,2.167,2.25,2.3754,11
local,ticket_only,1000,256,0.0027,365057.97,0.29,0.49,0.291,0.333,0.3754,2.01,0.78,1.917,2.166,3.7084,2.3,1.01,2.208,2.461,4.0,12
local,ticket_only,1000,256,0.0026,388393.56,0.27,0.03,0.25,0.292,0.375,1.92,0.04,1.917,2.0,2.042,2.19,0.05,2.167,2.291,2.333,13
local,ticket_only,1000,256,0.0026,380083.62,0.27,0.03,0.25,0.292,0.334,1.97,1.12,1.917,2.042,2.1254,2.24,1.12,2.208,2.333,2.459,14
local,ticket_only,1000,256,0.0026,385684.62,0.27,0.02,0.25,0.292,0.334,1.94,0.05,1.917,2.041,2.083,2.2,0.05,2.208,2.292,2.375,15
local,ticket_only,1000,256,0.0026,378542.83,0.28,0.03,0.291,0.333,0.375,1.97,0.06,1.958,2.084,2.167,2.25,0.07,2.25,2.375,2.458,16
local,ticket_only,1000,256,0.0026,386541.85,0.27,0.08,0.25,0.292,0.3344,1.93,0.05,1.917,2.0021,2.083,2.2,0.09,2.208,2.292,2.375,17
local,ticket_only,1000,256,0.0026,384788.1,0.27,0.03,0.25,0.292,0.333,1.94,0.04,1.917,2.041,2.083,2.21,0.05,2.208,2.292,2.375,18
local,ticket_only,1000,256,0.0026,387828.69,0.27,0.02,0.25,0.292,0.334,1.93,0.04,1.917,2.0,2.042,2.19,0.04,2.208,2.291,2.292,19
local,ticket_only,1000,256,0.0027,376837.18,0.27,0.06,0.25,0.292,0.3344,1.97,1.37,1.917,2.0,2.083,2.25,1.38,2.208,2.291,2.375,20
local,ticket_only,1000,256,0.0028,357467.39,0.28,0.08,0.2705,0.333,0.458,2.06,1.1,1.917,2.2952,3.7928,2.34,1.13,2.208,2.666,4.166,21
local,ticket_only,1000,256,0.0027,370090.61,0.3,0.65,0.25,0.333,0.375,1.96,0.49,1.917,2.042,2.2504,2.26,0.95,2.208,2.375,2.5844,22
local,ticket_only,1000,256,0.0027,374385.73,0.27,0.06,0.25,0.292,0.334,1.96,1.08,1.917,2.0,2.1267,2.24,1.1,2.167,2.292,2.4597,23
local,ticket_only,1000,256,0.0028,358000.53,0.28,0.05,0.291,0.333,0.416,2.07,1.37,1.917,2.167,4.8343,2.35,1.38,2.167,2.5,5.3344,24
local,ticket_only,1000,256,0.0026,380801.37,0.27,0.05,0.25,0.292,0.3344,1.97,0.69,1.917,2.0,2.0844,2.24,0.69,2.167,2.291,2.4594,25
local,ticket_only,1000,256,0.0028,358123.48,0.28,0.07,0.291,0.333,0.375,2.02,1.44,1.917,2.125,2.6258,2.3,1.45,2.208,2.416,3.042,26
local,ticket_only,1000,256,0.0026,388204.94,0.27,0.02,0.25,0.292,0.334,1.92,0.07,1.917,2.0,2.083,2.19,0.07,2.167,2.25,2.334,27
local,ticket_only,1000,256,0.0026,387459.34,0.27,0.02,0.25,0.292,0.334,1.91,0.34,1.875,2.0,2.042,2.18,0.34,2.167,2.25,2.333,28
local,ticket_only,1000,256,0.0027,364083.19,0.29,0.49,0.25,0.292,0.3754,1.99,1.1,1.917,2.0,2.5004,2.28,1.33,2.167,2.292,2.8758,29
local,ticket_only,1000,256,0.0026,381800.92,0.27,0.02,0.25,0.292,0.334,1.94,0.27,1.917,2.0,2.083,2.21,0.27,2.208,2.291,2.375,30
local,ticket_only,500,512,0.0014,368527.73,0.31,0.02,0.292,0.334,0.375,1.93,0.04,1.917,2.0,2.042,2.24,0.04,2.209,2.292,2.3754,1
local,ticket_only,500,512,0.0014,359442.78,0.31,0.03,0.292,0.334,0.3754,1.99,0.63,1.958,2.083,2.25,2.29,0.63,2.25,2.4161,2.5428,2
local,ticket_only,500,512,0.0015,324017.82,0.31,0.12,0.292,0.375,0.4164,2.05,2.76,1.917,2.0441,2.167,2.36,2.78,2.209,2.375,2.5,3
local,ticket_only,500,512,0.0014,357291.64,0.3,0.03,0.292,0.334,0.416,1.92,0.75,1.875,2.0,2.1254,2.22,0.75,2.167,2.333,2.459,4
local,ticket_only,500,512,0.0014,358690.61,0.31,0.06,0.292,0.334,0.417,1.95,0.51,1.916,2.042,2.3334,2.26,0.56,2.208,2.375,2.7084,5
local,ticket_only,500,512,0.0015,324482.32,0.34,0.33,0.292,0.375,0.6296,2.07,1.15,1.917,2.333,5.5054,2.41,1.38,2.209,2.6733,7.25,6
local,ticket_only,500,512,0.0014,366009.97,0.3,0.02,0.292,0.334,0.375,1.95,0.2,1.917,2.0,2.083,2.24,0.2,2.209,2.333,2.3754,7
local,ticket_only,500,512,0.0015,342935.53,0.31,0.03,0.292,0.375,0.417,1.91,0.74,1.834,2.042,2.5,2.22,0.75,2.1665,2.375,2.8754,8
local,ticket_only,500,512,0.0013,377251.72,0.31,0.03,0.292,0.3361,0.3754,1.85,0.07,1.833,1.958,2.083,2.16,0.08,2.125,2.291,2.4584,9
local,ticket_only,500,512,0.0015,335232.99,0.32,0.1,0.292,0.375,0.458,2.07,1.13,1.958,2.084,4.4491,2.38,1.2,2.25,2.417,5.4142,10
local,ticket_only,500,512,0.0014,367343.19,0.3,0.03,0.292,0.334,0.375,1.94,0.05,1.917,2.042,2.083,2.24,0.05,2.209,2.3331,2.375,11
local,ticket_only,500,512,0.0014,354767.18,0.31,0.04,0.292,0.375,0.416,2.01,0.07,2.0,2.125,2.167,2.32,0.08,2.333,2.458,2.5,12
local,ticket_only,500,512,0.0015,342817.96,0.31,0.03,0.292,0.3361,0.416,1.97,0.56,1.917,2.0831,2.2504,2.28,0.56,2.209,2.419,2.625,13
local,ticket_only,500,512,0.0015,337733.32,0.32,0.1,0.292,0.375,0.5008,2.09,1.06,1.958,2.1271,4.7343,2.41,1.1,2.25,2.459,6.3156,14
local,ticket_only,500,512,0.0014,365753.21,0.3,0.02,0.292,0.334,0.375,1.95,0.05,1.9375,2.042,2.125,2.25,0.05,2.25,2.334,2.417,15
local,ticket_only,500,512,0.0014,365809.14,0.3,0.03,0.292,0.334,0.416,1.94,0.04,1.917,2.041,2.083,2.25,0.05,2.25,2.334,2.375,16
local,ticket_only,500,512,0.0014,366826.55,0.3,0.03,0.292,0.334,0.375,1.94,0.04,1.917,2.0,2.042,2.24,0.04,2.25,2.333,2.375,17
local,ticket_only,500,512,0.0015,328236.48,0.32,0.08,0.292,0.375,0.5004,2.1,1.3,1.959,2.25,2.7172,2.42,1.32,2.291,2.5441,3.3413,18
local,ticket_only,500,512,0.0014,356389.6,0.31,0.03,0.292,0.375,0.375,1.99,0.32,2.0,2.084,2.125,2.3,0.32,2.292,2.417,2.459,19
local,ticket_only,500,512,0.0014,364287.58,0.31,0.03,0.292,0.334,0.375,1.95,0.05,1.958,2.042,2.084,2.26,0.05,2.25,2.3361,2.417,20
local,ticket_only,500,512,0.0014,366692.31,0.3,0.03,0.292,0.334,0.3754,1.95,0.05,1.958,2.042,2.0834,2.25,0.05,2.25,2.334,2.4164,21
local,ticket_only,500,512,0.0015,333416.69,0.32,0.24,0.292,0.375,0.458,2.04,1.18,1.958,2.044,2.7928,2.36,1.37,2.25,2.375,3.4173,22
local,ticket_only,500,512,0.0014,364497.9,0.3,0.03,0.292,0.334,0.3754,1.95,0.05,1.958,2.042,2.0844,2.25,0.06,2.25,2.3361,2.458,23
local,ticket_only,500,512,0.0014,366580.2,0.3,0.03,0.292,0.334,0.416,1.95,0.04,1.958,2.041,2.083,2.25,0.05,2.25,2.3331,2.3754,24
local,ticket_only,500,512,0.0014,367714.65,0.3,0.02,0.292,0.334,0.375,1.94,0.04,1.917,2.0,2.083,2.24,0.05,2.25,2.333,2.416,25
local,ticket_only,500,512,0.0014,353045.01,0.31,0.03,0.292,0.375,0.416,2.02,0.08,2.0,2.166,2.208,2.33,0.09,2.333,2.5,2.542,26
local,ticket_only,500,512,0.0015,338371.23,0.31,0.16,0.292,0.375,0.417,2.03,1.19,1.958,2.125,2.25,2.35,1.35,2.25,2.417,2.5834,27
local,ticket_only,500,512,0.0015,338075.63,0.34,0.25,0.333,0.3771,0.458,2.04,0.21,2.0,2.208,2.3334,2.38,0.33,2.334,2.542,2.7918,28
local,ticket_only,500,512,0.0014,359723.1,0.33,0.27,0.333,0.375,0.4174,1.96,0.09,1.9375,2.125,2.25,2.29,0.29,2.25,2.4611,2.625,29
local,ticket_only,500,512,0.0015,331262.94,0.33,0.11,0.292,0.375,0.5435,2.12,1.26,1.9585,2.208,5.6882,2.45,1.31,2.291,2.583,7.1458,30
local,ticket_only,1000,512,0.0028,354704.26,0.31,0.05,0.292,0.334,0.3754,1.98,1.02,1.917,2.041,2.416,2.29,1.04,2.25,2.334,2.7504,1
local,ticket_only,1000,512,0.0029,346475.26,0.32,0.08,0.292,0.375,0.4594,1.98,0.83,1.875,2.125,2.75,2.3,0.87,2.208,2.458,3.3376,2
local,ticket_only,1000,512,0.0028,352112.68,0.32,0.18,0.292,0.375,0.417,2.0,0.87,1.958,2.083,2.209,2.32,0.9,2.25,2.4161,2.5424,3
local,ticket_only,1000,512,0.003,338113.92,0.32,0.31,0.292,0.334,0.417,2.06,1.77,1.917,2.083,2.5423,2.38,1.84,2.25,2.375,3.041,4
local,ticket_only,1000,512,0.0029,343755.78,0.32,0.22,0.292,0.334,0.416,2.04,1.57,1.958,2.083,2.375,2.35,1.6,2.25,2.375,2.7504,5
local,ticket_only,1000,512,0.0027,364099.76,0.3,0.03,0.292,0.334,0.416,1.94,0.26,1.917,2.0,2.083,2.25,0.27,2.209,2.333,2.417,6
local,ticket_only,1000,512,0.0029,342260.63,0.31,0.07,0.292,0.334,0.3754,2.03,1.49,1.958,2.042,2.208,2.34,1.49,2.25,2.375,2.541,7
local,ticket_only,1000,512,0.0028,359281.48,0.31,0.08,0.292,0.334,0.375,1.99,0.58,1.958,2.041,2.083,2.29,0.59,2.25,2.334,2.458,8
local,ticket_only,1000,512,0.0027,365296.8,0.3,0.03,0.292,0.334,0.375,1.96,0.43,1.917,2.0,2.042,2.26,0.43,2.25,2.333,2.375,9
local,ticket_only,1000,512,0.0029,340174.58,0.32,0.36,0.292,0.334,0.375,2.02,0.77,1.958,2.083,2.2504,2.34,0.89,2.25,2.417,2.6254,10
local,ticket_only,1000,512,0.0027,364254.54,0.3,0.05,0.292,0.334,0.375,1.95,0.04,1.958,2.041,2.083,2.25,0.07,2.25,2.333,2.375,11
local,ticket_only,1000,512,0.0027,365485.99,0.3,0.02,0.292,0.334,0.375,1.95,0.05,1.958,2.042,2.125,2.25,0.05,2.25,2.334,2.4174,12
local,ticket_only,1000,512,0.0027,369805.39,0.3,0.03,0.292,0.334,0.375,1.86,0.36,1.833,1.958,2.083,2.16,0.37,2.125,2.25,2.417,13
local,ticket_only,1000,512,0.0029,345408.23,0.32,0.07,0.292,0.375,0.458,2.02,0.86,1.958,2.125,2.6267,2.34,0.89,2.25,2.5,3.1267,14
local,ticket_only,1000,512,0.0029,346210.4,0.31,0.19,0.292,0.334,0.417,2.01,1.71,1.917,2.0,2.4169,2.32,1.79,2.208,2.333,2.7933,15
local,ticket_only,1000,512,0.0029,350743.91,0.33,0.5,0.292,0.375,0.5,1.96,1.02,1.833,2.125,2.8788,2.29,1.15,2.166,2.458,3.8763,16
local,ticket_only,1000,512,0.0028,360891.36,0.3,0.03,0.292,0.334,0.375,1.97,0.47,1.917,2.0021,2.0424,2.27,0.47,2.25,2.333,2.375,17
local,ticket_only,1000,512,0.003,329299.42,0.33,0.59,0.292,0.334,0.417,2.01,1.24,1.917,2.083,2.2102,2.34,1.69,2.209,2.375,2.5848,18
local,ticket_only,1000,512,0.0029,349757.36,0.31,0.26,0.292,0.334,0.375,1.98,0.68,1.958,2.042,2.1674,2.3,0.94,2.25,2.375,2.5,19
local,ticket_only,1000,512,0.0027,368539.14,0.3,0.02,0.292,0.334,0.334,1.94,0.04,1.917,2.0,2.042,2.24,0.04,2.25,2.292,2.334,20
local,ticket_only,1000,512,0.0031,322927.84,0.31,0.09,0.292,0.375,0.417,2.06,1.78,1.958,2.125,2.6674,2.37,1.79,2.25,2.5,3.0428,21
local,ticket_only,1000,512,0.0028,360820.78,0.3,0.02,0.292,0.334,0.375,1.97,0.47,1.917,2.041,2.042,2.27,0.47,2.25,2.333,2.416,22
local,ticket_only,1000,512,0.0027,368307.17,0.3,0.02,0.292,0.334,0.375,1.94,0.05,1.917,2.0,2.083,2.24,0.06,2.25,2.333,2.3754,23
local,ticket_only,1000,512,0.0027,365658.66,0.3,0.02,0.292,0.334,0.375,1.94,0.04,1.917,2.041,2.083,2.24,0.05,2.25,2.333,2.375,24
local,ticket_only,1000,512,0.0027,369839.58,0.3,0.02,0.292,0.333,0.334,1.93,0.03,1.917,2.0,2.041,2.23,0.04,2.209,2.292,2.333,25
local,ticket_only,1000,512,0.0027,365257.84,0.3,0.03,0.292,0.334,0.416,1.95,0.06,1.958,2.042,2.25,2.25,0.07,2.25,2.375,2.583,26
local,ticket_only,1000,512,0.0029,343441.03,0.32,0.12,0.333,0.375,0.458,1.97,0.43,1.917,2.208,2.625,2.3,0.54,2.25,2.542,3.0,27
local,ticket_only,1000,512,0.0029,350815.65,0.32,0.16,0.292,0.375,0.4174,1.97,1.03,1.875,2.0861,2.7094,2.29,1.15,2.208,2.419,3.1258,28
local,ticket_only,1000,512,0.0029,346245.4,0.31,0.07,0.292,0.334,0.375,1.97,1.57,1.917,2.041,2.125,2.28,1.58,2.208,2.334,2.4174,29
local,ticket_only,1000,512,0.003,335669.03,0.32,0.09,0.292,0.375,0.4594,2.06,1.3,1.958,2.1661,2.7546,2.38,1.33,2.25,2.5021,3.7945,30
local,ticket_only,500,1024,0.0013,374730.85,0.29,0.02,0.292,0.333,0.334,1.92,0.04,1.917,2.0,2.042,2.21,0.05,2.208,2.292,2.3344,1
local,ticket_only,500,1024,0.0013,370977.4,0.29,0.03,0.292,0.3331,0.375,1.95,0.05,1.917,2.042,2.083,2.24,0.05,2.209,2.333,2.375,2
local,ticket_only,500,1024,0.0015,326681.66,0.3,0.1,0.292,0.334,0.375,2.05,2.16,1.917,2.0411,2.1674,2.35,2.18,2.208,2.334,2.5004,3
local,ticket_only,500,1024,0.0015,333028.06,0.31,0.09,0.292,0.375,0.458,2.13,1.49,2.0,2.125,3.7344,2.45,1.52,2.292,2.458,4.7276,4
local,ticket_only,500,1024,0.0014,360381.92,0.3,0.03,0.292,0.334,0.3754,1.98,0.06,1.959,2.083,2.167,2.28,0.06,2.291,2.375,2.4594,5
local,ticket_only,500,1024,0.0013,378943.48,0.3,0.02,0.292,0.333,0.375,1.88,0.05,1.875,1.9581,2.0424,2.18,0.05,2.167,2.291,2.375,6
local,ticket_only,500,1024,0.0013,376565.0,0.29,0.03,0.292,0.333,0.375,1.91,0.05,1.916,2.0,2.083,2.2,0.05,2.208,2.292,2.375,7
local,ticket_only,500,1024,0.0016,305421.29,0.34,0.51,0.292,0.375,0.5432,2.16,2.8,1.917,2.125,3.6268,2.5,2.92,2.25,2.416,4.8834,8
local,ticket_only,500,1024,0.0014,356368.52,0.3,0.03,0.292,0.334,0.3754,2.01,0.05,2.0,2.083,2.25,2.31,0.06,2.292,2.4161,2.583,9
local,ticket_only,500,1024,0.0014,358519.32,0.3,0.03,0.292,0.334,0.417,2.01,0.07,2.0,2.125,2.25,2.31,0.08,2.292,2.458,2.583,10
local,ticket_only,500,1024,0.0013,370599.32,0.29,0.03,0.292,0.333,0.375,1.95,0.05,1.958,2.042,2.125,2.24,0.06,2.209,2.333,2.417,11
local,ticket_only,500,1024,0.0014,367759.82,0.29,0.03,0.292,0.334,0.375,1.96,0.06,1.958,2.083,2.25,2.25,0.08,2.25,2.375,2.5424,12
local,ticket_only,500,1024,0.0017,302602.44,0.31,0.11,0.292,0.334,0.416,2.13,2.61,1.916,2.167,3.9346,2.43,2.63,2.208,2.5,4.2682,13
local,ticket_only,500,1024,0.0014,359485.94,0.31,0.18,0.292,0.334,0.417,1.95,0.63,1.875,2.083,2.3334,2.26,0.68,2.208,2.416,2.7223,14
local,ticket_only,500,1024,0.0014,363361.26,0.3,0.03,0.292,0.334,0.375,1.96,0.18,1.917,2.167,2.334,2.27,0.19,2.209,2.5,2.667,15
local,ticket_only,500,1024,0.0014,352040.28,0.3,0.08,0.292,0.334,0.416,1.99,0.64,1.958,2.042,2.167,2.29,0.67,2.25,2.375,2.541,16
local,ticket_only,500,1024,0.0013,371172.1,0.29,0.03,0.292,0.333,0.375,1.94,0.04,1.917,2.041,2.083,2.23,0.05,2.208,2.333,2.375,17
local,ticket_only,500,1024,0.0015,342485.22,0.3,0.03,0.292,0.334,0.375,1.98,0.6,1.917,2.083,2.2504,2.28,0.6,2.208,2.3771,2.5844,18
local,ticket_only,500,1024,0.0013,371355.98,0.3,0.02,0.292,0.333,0.3344,1.93,0.06,1.917,2.042,2.167,2.23,0.07,2.208,2.375,2.5,19
local,ticket_only,500,1024,0.0014,365708.8,0.29,0.03,0.292,0.333,0.375,1.97,0.06,1.958,2.0831,2.209,2.26,0.08,2.25,2.375,2.542,20
local,ticket_only,500,1024,0.0013,371954.62,0.29,0.03,0.292,0.333,0.375,1.94,0.05,1.917,2.0,2.1254,2.23,0.06,2.209,2.333,2.4594,21
local,ticket_only,500,1024,0.0014,362548.72,0.3,0.28,0.292,0.333,0.375,2.0,0.81,1.958,2.042,2.125,2.3,0.86,2.209,2.333,2.417,22
local,ticket_only,500,1024,0.0014,356941.18,0.3,0.03,0.292,0.334,0.375,1.95,0.07,1.917,2.083,2.167,2.25,0.09,2.209,2.417,2.5414,23
local,ticket_only,500,1024,0.0014,355840.23,0.29,0.02,0.292,0.333,0.375,1.95,0.04,1.958,2.041,2.042,2.24,0.04,2.209,2.333,2.375,24
local,ticket_only,500,1024,0.0013,372474.16,0.29,0.02,0.292,0.333,0.3344,1.94,0.04,1.917,2.0,2.0424,2.23,0.05,2.209,2.292,2.375,25
local,ticket_only,500,1024,0.0014,366546.61,0.29,0.08,0.292,0.333,0.375,1.98,0.4,1.958,2.042,2.084,2.27,0.41,2.209,2.375,2.5,26
local,ticket_only,500,1024,0.0014,359453.63,0.29,0.11,0.292,0.333,0.3344,2.01,1.3,1.917,2.0,2.0424,2.3,1.36,2.208,2.292,2.416,27
local,ticket_only,500,1024,0.0015,323877.83,0.34,0.56,0.292,0.375,0.5008,2.07,1.18,1.959,2.25,2.6683,2.41,1.46,2.291,2.584,3.3754,28
local,ticket_only,500,1024,0.0014,364896.92,0.29,0.03,0.292,0.333,0.375,1.97,0.55,1.958,2.042,2.125,2.27,0.55,2.25,2.375,2.417,29
local,ticket_only,500,1024,0.0014,359324.47,0.3,0.03,0.292,0.334,0.375,2.0,0.9,1.917,2.041,2.1254,2.3,0.9,2.209,2.334,2.459,30
local,ticket_only,1000,1024,0.0027,371224.05,0.29,0.03,0.292,0.333,0.375,1.93,0.63,1.917,2.0,2.042,2.23,0.63,2.208,2.292,2.375,1
local,ticket_only,1000,1024,0.0029,350145.2,0.3,0.06,0.292,0.375,0.417,2.04,0.67,2.0,2.125,2.292,2.34,0.68,2.292,2.458,2.667,2
local,ticket_only,1000,1024,0.0027,372237.35,0.29,0.02,0.292,0.333,0.375,1.94,0.04,1.917,2.041,2.083,2.23,0.05,2.209,2.333,2.375,3
local,ticket_only,1000,1024,0.0028,352184.97,0.3,0.08,0.292,0.334,0.375,2.04,1.79,1.958,2.083,2.167,2.33,1.81,2.25,2.375,2.5,4
local,ticket_only,1000,1024,0.0028,361277.16,0.3,0.03,0.292,0.334,0.416,1.94,0.09,1.917,2.0441,2.458,2.24,0.11,2.208,2.375,2.833,5
local,ticket_only,1000,1024,0.003,334672.02,0.33,0.42,0.292,0.375,0.542,2.11,1.59,1.958,2.292,3.3392,2.44,1.76,2.291,2.625,4.2504,6
local,ticket_only,1000,1024,0.0029,341846.22,0.32,0.61,0.292,0.334,0.375,1.94,0.71,1.875,2.0,2.1674,2.26,0.99,2.167,2.292,2.6254,7
local,ticket_only,1000,1024,0.003,331853.82,0.3,0.12,0.292,0.334,0.416,2.01,0.91,1.958,2.083,2.375,2.31,0.95,2.25,2.416,2.7504,8
local,ticket_only,1000,1024,0.0027,368069.93,0.29,0.03,0.292,0.333,0.375,1.97,0.6,1.958,2.041,2.0424,2.26,0.6,2.209,2.333,2.416,9
local,ticket_only,1000,1024,0.003,334089.71,0.31,0.32,0.292,0.334,0.416,1.94,1.24,1.834,2.0,2.4174,2.25,1.3,2.125,2.3331,2.8334,10
local,ticket_only,1000,1024,0.0029,341039.93,0.3,0.11,0.292,0.375,0.5004,2.08,1.28,1.917,2.125,5.635,2.38,1.33,2.209,2.458,6.3037,11
local,ticket_only,1000,1024,0.0027,367315.13,0.3,0.41,0.292,0.333,0.375,1.95,0.25,1.958,2.041,2.083,2.26,0.48,2.209,2.333,2.375,12
local,ticket_only,1000,1024,0.0028,352226.41,0.3,0.06,0.292,0.334,0.417,2.0,0.98,1.917,2.042,2.5013,2.29,1.0,2.208,2.375,2.8763,13
local,ticket_only,1000,1024,0.0027,368890.3,0.28,0.02,0.291,0.333,0.334,1.93,0.04,1.917,2.0,2.042,2.21,0.04,2.208,2.292,2.333,14
