protocol,scenario,server_host,server_port,session_id,attack_type,message_count,payload_size,repeat_id,attack_seq,sent_count,accepted_count,rejected_count,timeout_count,attack_detected,recovery_requested,recovery_success,full_recovery_success,pre_recovery_accepted,post_recovery_accepted,recovery_point_seq,recovery_latency_ms,recovery_extra_messages,recovery_extra_bytes,elapsed_ms,throughput_msg_per_s,final_client_mem,final_server_mem,final_client_mem_short,final_server_mem_short,memory_match_after_recovery,server_last_seq,final_seq_consistent,ticket_verified,ticket_nonce,ticket_expired,ticket_replay_detected,submitted_ticket_present,submitted_ticket_seq,submitted_ticket_nonce,server_ticket_verified,replacement_ticket_verified,response_state_match,detection_reason,recovery_reason,recovery_mode
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r11-1783186930845360,drop,200,128,11,101,201,200,1,0,True,True,True,True,100,100,100,0.1829,2,1976,17.4918,11433.92,72b7ea5c880522674a1424730b723acd8fa897034ee112fb5093d83f7f0ae652,72b7ea5c880522674a1424730b723acd8fa897034ee112fb5093d83f7f0ae652,72b7ea5c88052267,72b7ea5c88052267,True,200,True,True,f68e152b2791ec51385153ee10ee0084,False,False,True,100,0c86033cac8f4266a850b816e58baa76,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r12-1783186930862893,drop,200,128,12,101,201,200,1,0,True,True,True,True,100,100,100,0.2701,2,1975,17.859,11198.85,5fe15db490d184a7b09b1740a212f38faed41fb5bb2b284687b24cb1ff0abf91,5fe15db490d184a7b09b1740a212f38faed41fb5bb2b284687b24cb1ff0abf91,5fe15db490d184a7,5fe15db490d184a7,True,200,True,True,e4ffd8d0489ec349a52dc391001b6616,False,False,True,100,d3e2f67ac12c9e728cade848d3716fe3,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r13-1783186930880800,drop,200,128,13,101,201,200,1,0,True,True,True,True,100,100,100,0.2339,2,1977,17.468,11449.52,154c477e4fd3e35461cd6b4bf6b8cb2d96eefc2b21c29c0d681c348a61ee171e,154c477e4fd3e35461cd6b4bf6b8cb2d96eefc2b21c29c0d681c348a61ee171e,154c477e4fd3e354,154c477e4fd3e354,True,200,True,True,46426342d7d19ca852f9223618cb1d92,False,False,True,100,41197ae3978b6173dee454c05f51928a,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r14-1783186930898335,drop,200,128,14,101,201,200,1,0,True,True,True,True,100,100,100,0.2038,2,1976,16.7892,11912.42,1c49a7bfc67de929097aec77fe412ad1b7b09906af09015b848fabe3b0c2845d,1c49a7bfc67de929097aec77fe412ad1b7b09906af09015b848fabe3b0c2845d,1c49a7bfc67de929,1c49a7bfc67de929,True,200,True,True,c6d9e4e6c86af5ac7ec33f446a5b1119,False,False,True,100,d440a4efa862f4e52fafb7c2593f7c40,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r15-1783186930915171,drop,200,128,15,101,201,200,1,0,True,True,True,True,100,100,100,0.2723,2,1975,18.0941,11053.35,66aecc5bc3d6f87c30132aa1155b3fe8b075c96acb339a7c12b3290b417843c0,66aecc5bc3d6f87c30132aa1155b3fe8b075c96acb339a7c12b3290b417843c0,66aecc5bc3d6f87c,66aecc5bc3d6f87c,True,200,True,True,e0c568ddc42351f687f390fde5f356ba,False,False,True,100,e23726f7dd46f3e46a8c9ee9eea4b6cc,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r16-1783186930933315,drop,200,128,16,101,201,200,1,0,True,True,True,True,100,100,100,0.175,2,1976,17.9369,11150.17,b375ebd1d035f26aae71fb95bcd188fb583e9486be214fd08618b09f7740d3ab,b375ebd1d035f26aae71fb95bcd188fb583e9486be214fd08618b09f7740d3ab,b375ebd1d035f26a,b375ebd1d035f26a,True,200,True,True,f04884f7669e93e2d629e5a4509c7156,False,False,True,100,88c49bb8128f70aab1e3055abd002233,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r17-1783186930951300,drop,200,128,17,101,201,200,1,0,True,True,True,True,100,100,100,0.206,2,1975,18.2099,10983.02,3948f5a50973b0b2984fbd43b9591c298435c1e39a4c8f2930e6b52d5db0c226,3948f5a50973b0b2984fbd43b9591c298435c1e39a4c8f2930e6b52d5db0c226,3948f5a50973b0b2,3948f5a50973b0b2,True,200,True,True,dabcf96decd310ba2a9cdbb685435324,False,False,True,100,cfd248fcc3946a1ff3addea2074a675b,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r18-1783186930969553,drop,200,128,18,101,201,200,1,0,True,True,True,True,100,100,100,0.191,2,1975,17.709,11293.68,21127c9ee0b0992b7b533ddd4e2dbddea188e05c3345aa8b5417de6da3eefb12,21127c9ee0b0992b7b533ddd4e2dbddea188e05c3345aa8b5417de6da3eefb12,21127c9ee0b0992b,21127c9ee0b0992b,True,200,True,True,c4d8867c077f3a2999f73c1313980779,False,False,True,100,d60a60ee09523845e37f118ae4fe8dc9,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r19-1783186930987310,drop,200,128,19,101,201,200,1,0,True,True,True,True,100,100,100,0.1967,2,1977,17.1781,11642.76,9606b2c4d7258abc35f583dde1af7d02516934ae2ecfb5fd3f2391df73f15a7b,9606b2c4d7258abc35f583dde1af7d02516934ae2ecfb5fd3f2391df73f15a7b,9606b2c4d7258abc,9606b2c4d7258abc,True,200,True,True,2cafafcab0569dbe966c8490a5e9789b,False,False,True,100,6be90eb5d69598cd205f4df8edea0c69,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r20-1783186931004541,drop,200,128,20,101,201,200,1,0,True,True,True,True,100,100,100,0.1991,2,1977,17.4379,11469.25,63273acb0525cb485a64625ed8a031b845bf9d1c6cf3cf9ad42a621d55453577,63273acb0525cb485a64625ed8a031b845bf9d1c6cf3cf9ad42a621d55453577,63273acb0525cb48,63273acb0525cb48,True,200,True,True,55a871dcbf50b9e8afd3fcd23155bf31,False,False,True,100,f71367b7a202e0094b7fa75c349907b2,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
